Project ID,Certificates,Years of Experience,age,Time Arrival Strafe,Project Cost,Project Proximity,Violation Risk Index,Company PCAB Score,Weekly Overtime Hours,Salary Bracket,is_good
236397,1,3,21,7.24,89480.0,92.66,0.5,2,1.0,1,1
147709,11,5,28,-21.92,951248.0,106.68,0.2,4,0.0,2,1
460249,0,3,19,11.99,187517.0,96.46,0.56,2,4.0,1,1
571538,0,3,39,6.06,178226.0,107.87,0.58,2,5.0,1,1
992664,12,7,33,-9.78,997014.0,122.44,0.22,4,3.0,3,1
536837,0,2,56,3.55,71319.0,119.04,0.76,3,8.0,1,0
244926,1,4,41,19.04,84614.0,100.36,0.72,2,5.0,1,0
259338,10,8,27,-6.09,1006836.0,129.57,0.3,4,5.0,3,1
812087,1,5,60,1.34,9957.0,117.45,0.79,2,8.0,1,0
103527,4,4,20,5.85,152994.0,113.11,0.57,3,6.0,2,0
129220,12,7,29,-14.83,1022738.0,123.02,0.25,4,3.0,3,1
712591,1,3,21,4.29,106775.0,92.0,0.52,2,2.0,1,1
394031,11,9,33,-13.88,999902.0,129.73,0.25,3,4.0,5,1
830735,0,3,21,6.39,136781.0,108.04,0.59,3,4.0,1,0
104410,8,6,30,-3.56,1027691.0,117.52,0.23,3,2.0,2,1
940785,0,3,18,3.37,195682.0,104.32,0.49,2,4.0,1,1
456392,14,5,23,-4.03,973328.0,133.87,0.35,4,8.0,2,1
48976,0,2,18,9.1,139051.0,92.62,0.47,3,1.0,1,0
591491,12,6,30,-3.9,991395.0,119.56,0.18,4,1.0,3,1
946344,10,5,24,-11.79,1062264.0,130.7,0.27,3,6.0,2,1
781545,10,8,39,11.59,1057296.0,131.39,0.3,3,4.0,4,0
513618,0,1,44,3.04,35648.0,104.45,0.71,2,5.0,1,1
722697,1,4,58,5.7,110156.0,107.54,0.68,2,6.0,1,1
801090,9,6,34,-7.73,938198.0,122.14,0.28,3,3.0,2,1
435356,0,2,22,7.87,51515.0,76.74,0.52,2,0.0,1,0
481428,0,3,21,7.06,51929.0,88.08,0.47,2,1.0,1,1
399755,13,9,28,-8.62,1064605.0,127.91,0.29,3,4.0,5,1
422545,11,5,23,-2.28,1047691.0,129.01,0.3,4,4.0,2,1
780647,13,6,31,-10.17,930701.0,123.08,0.29,4,4.0,3,1
935186,13,6,31,-13.16,921379.0,125.51,0.27,3,4.0,3,1
28201,1,4,21,11.04,57325.0,97.57,0.69,3,4.0,1,0
904841,11,6,30,5.74,1005094.0,117.35,0.25,4,2.0,2,1
142532,14,5,23,4.06,934422.0,133.58,0.34,4,7.0,2,1
706164,14,8,25,-5.56,982601.0,127.01,0.19,4,2.0,5,1
455627,10,5,36,13.06,983417.0,129.63,0.36,4,6.0,2,1
231942,12,10,34,5.96,1017741.0,129.0,0.25,4,3.0,5,1
223355,10,6,25,-10.22,980757.0,133.29,0.34,3,6.0,2,1
968411,1,2,19,5.4,154193.0,83.82,0.51,3,1.0,1,1
720906,2,3,18,6.17,95438.0,90.46,0.52,2,3.0,1,0
323928,10,6,26,24.39,981537.0,128.81,0.34,3,5.0,2,1
249630,1,5,36,0.11,14824.0,102.51,0.6,2,4.0,2,0
172550,0,4,22,11.47,45733.0,86.76,0.57,3,2.0,1,0
703818,1,3,21,1.51,93335.0,89.34,0.52,2,1.0,1,0
578363,0,2,48,8.19,145720.0,111.19,0.68,2,6.0,1,0
503804,2,4,19,0.5,73341.0,96.56,0.57,2,3.0,1,0
194587,11,6,24,-9.55,1002084.0,118.37,0.25,3,2.0,2,1
232780,1,4,20,4.38,119257.0,103.64,0.52,2,4.0,1,0
320130,1,2,47,12.31,150581.0,119.72,0.74,2,9.0,1,0
254578,0,4,21,1.33,102531.0,79.63,0.43,2,0.0,1,0
518648,14,5,31,1.6,940200.0,128.26,0.3,4,4.0,2,1
711802,12,11,25,-12.69,1013945.0,124.21,0.22,4,2.0,5,1
568287,13,6,26,-6.13,1037776.0,119.82,0.19,3,1.0,3,1
349010,12,7,29,-10.36,990495.0,123.88,0.3,3,3.0,3,1
45522,10,6,25,-12.45,939826.0,130.03,0.28,3,4.0,2,1
522675,0,4,40,4.24,145667.0,100.7,0.58,3,4.0,1,1
582964,2,3,36,5.19,156893.0,113.01,0.6,2,6.0,1,0
641690,14,6,27,-4.96,949398.0,124.2,0.23,3,4.0,3,1
870867,0,4,21,4.76,131424.0,104.41,0.46,3,4.0,1,0
636977,0,2,31,8.99,116085.0,96.94,0.54,2,4.0,1,0
406312,1,3,22,3.27,136470.0,85.8,0.46,1,0.0,1,0
760475,11,7,26,-12.53,996210.0,125.25,0.26,4,4.0,3,1
719025,0,2,55,1.22,126662.0,112.14,0.65,2,7.0,1,0
931830,0,4,18,7.0,73282.0,102.59,0.63,3,5.0,1,1
627985,13,5,28,-13.94,1016391.0,120.16,0.22,3,2.0,2,1
314959,1,4,57,1.27,129833.0,122.14,0.71,2,10.0,1,0
416078,2,3,21,5.45,147119.0,95.32,0.46,3,1.0,1,0
419614,1,2,18,2.01,70779.0,95.58,0.6,2,3.0,1,0
836246,0,3,40,11.43,226149.0,112.45,0.55,2,6.0,1,0
434491,13,6,35,-11.47,923433.0,122.02,0.27,4,3.0,3,0
783380,0,4,21,3.67,144314.0,113.35,0.61,3,7.0,1,0
252866,1,3,18,7.3,57186.0,92.64,0.53,3,3.0,1,0
594204,0,4,18,8.75,182648.0,97.49,0.46,2,3.0,1,1
272596,11,8,39,6.06,1057074.0,129.42,0.25,4,4.0,4,1
313934,0,4,33,4.74,50000.0,103.73,0.68,2,5.0,1,0
226661,2,3,42,3.64,145770.0,116.0,0.72,3,6.0,1,0
766430,0,4,20,9.27,78253.0,103.15,0.64,2,5.0,1,1
747632,1,4,21,9.66,56798.0,99.22,0.61,2,4.0,1,0
798185,1,3,19,11.31,71309.0,92.44,0.56,2,3.0,1,0
620017,12,6,26,6.16,1139800.0,127.63,0.18,4,3.0,3,1
41271,14,6,25,1.82,1030059.0,120.54,0.15,4,2.0,3,1
894419,13,7,32,-0.19,1027061.0,130.97,0.23,4,4.0,4,1
83234,1,4,34,5.1,143140.0,114.46,0.67,2,7.0,1,0
740524,11,8,31,-0.87,905341.0,131.39,0.25,3,6.0,3,1
413447,2,4,58,6.81,120691.0,108.63,0.74,2,5.0,2,0
717954,13,6,36,-12.66,977050.0,124.5,0.28,4,4.0,3,1
821189,13,7,31,-7.17,1050739.0,128.91,0.21,3,4.0,4,1
497037,1,2,37,2.65,166336.0,102.01,0.67,3,4.0,1,0
326312,0,3,58,16.76,103933.0,114.81,0.72,2,7.0,1,0
117698,13,7,25,2.78,1075406.0,130.84,0.26,3,6.0,4,1
509255,0,3,43,4.46,72303.0,114.53,0.64,3,7.0,1,1
591928,0,4,55,2.11,189837.0,110.66,0.62,3,5.0,1,0
994849,0,4,56,5.96,137394.0,111.85,0.69,2,7.0,1,0
908045,0,2,20,0.84,180328.0,109.75,0.53,3,5.0,1,0
644237,0,4,39,5.35,41376.0,112.52,0.74,2,6.0,1,0
17926,13,5,28,7.64,928186.0,127.69,0.31,4,5.0,2,1
671042,14,8,37,4.11,1043941.0,132.99,0.31,3,4.0,5,0
833599,12,9,23,-8.13,953726.0,129.46,0.31,3,6.0,5,0
57971,0,4,48,7.48,95956.0,119.65,0.79,2,9.0,1,0
752154,3,2,20,4.93,133231.0,94.23,0.41,2,3.0,1,0
200311,0,5,20,1.68,148516.0,92.55,0.5,2,2.0,2,0
458003,0,4,18,2.86,142500.0,104.07,0.59,2,4.0,1,0
625576,11,7,27,-3.99,1020947.0,114.63,0.17,3,0.0,3,1
7599,1,3,45,6.93,92380.0,114.23,0.72,3,7.0,1,0
185143,12,6,25,-23.86,1049976.0,136.26,0.26,4,7.0,3,0
998803,0,3,21,5.38,97469.0,90.09,0.57,1,1.0,1,0
978353,11,6,29,7.18,976766.0,133.34,0.31,3,7.0,2,1
804294,0,5,21,18.08,126707.0,108.05,0.57,2,5.0,2,0
881402,0,5,19,4.33,86380.0,90.78,0.34,2,1.0,2,0
99811,0,1,50,0.09,116601.0,110.25,0.6,3,7.0,1,1
796642,12,7,28,-0.11,1014672.0,130.56,0.23,4,4.0,3,0
391801,2,4,19,7.46,149107.0,103.62,0.51,2,5.0,2,1
877579,12,5,27,-14.45,997171.0,116.28,0.15,3,1.0,2,0
353288,13,7,32,-4.12,1031901.0,134.98,0.31,4,7.0,4,0
401387,0,4,20,6.88,59081.0,111.96,0.61,2,6.0,1,1
667136,12,7,26,7.14,1070455.0,133.67,0.37,4,8.0,4,1
47368,0,2,21,7.84,103887.0,91.94,0.51,2,2.0,1,1
28443,12,6,36,-10.0,972803.0,121.9,0.21,3,3.0,2,1
531519,12,6,30,9.65,960676.0,122.39,0.3,3,2.0,2,0
208173,14,8,28,-2.4,1026322.0,132.15,0.32,4,5.0,5,0
86489,0,3,39,3.04,121966.0,105.81,0.63,2,5.0,1,0
21853,0,4,18,6.02,181061.0,116.56,0.58,3,6.0,1,0
358607,0,4,36,1.45,21270.0,116.7,0.75,2,8.0,1,0
914580,13,6,25,3.59,1005578.0,124.8,0.23,4,3.0,3,1
549947,11,6,25,-22.41,1009810.0,121.56,0.16,3,1.0,2,1
463121,0,3,48,1.99,121238.0,121.05,0.67,3,8.0,1,0
16426,1,2,38,6.95,123103.0,103.68,0.65,3,5.0,1,0
324007,12,7,30,-13.02,1047238.0,130.2,0.31,4,5.0,4,0
883377,0,5,22,4.72,100519.0,104.83,0.57,2,4.0,2,0
864208,13,7,30,-3.37,983517.0,129.17,0.32,4,4.0,4,1
796399,15,7,32,-10.36,1032948.0,113.76,0.18,4,0.0,5,1
666669,14,6,24,-4.6,1003655.0,119.56,0.18,4,1.0,3,1
489603,0,4,18,16.18,116690.0,100.67,0.43,2,3.0,1,1
24089,13,6,27,-5.87,1039964.0,125.05,0.24,4,3.0,3,0
488529,12,6,28,-17.31,947591.0,135.63,0.32,4,7.0,2,1
615942,0,3,41,0.26,205149.0,107.35,0.57,2,4.0,1,0
64579,13,7,31,-13.83,960022.0,130.27,0.31,4,6.0,3,0
110940,0,3,20,7.13,107021.0,99.56,0.56,2,3.0,1,1
71313,13,5,28,-2.46,990274.0,119.74,0.24,4,3.0,2,1
829148,8,6,28,15.35,945186.0,125.58,0.23,3,3.0,2,1
774467,0,4,21,4.47,100608.0,106.29,0.67,2,6.0,1,0
215722,1,4,39,2.45,113811.0,106.57,0.72,2,5.0,1,0
921731,11,7,32,-17.23,1111465.0,129.6,0.23,4,5.0,4,1
827349,2,4,44,0.25,64374.0,106.1,0.68,3,5.0,1,0
280425,0,5,19,5.02,143446.0,112.5,0.53,2,5.0,2,0
484274,12,6,25,-3.22,973097.0,125.43,0.22,3,4.0,2,1
179705,12,9,28,-11.83,1026542.0,122.57,0.22,4,3.0,5,1
557287,1,3,19,0.63,106073.0,101.02,0.55,2,5.0,1,0
916049,1,5,54,3.43,67889.0,127.37,0.76,2,9.0,2,0
879237,0,2,20,30.89,118916.0,99.88,0.54,2,3.0,1,0
817385,1,0,38,1.96,116944.0,101.06,0.68,3,5.0,1,0
966315,1,3,46,6.86,134609.0,112.5,0.62,3,7.0,1,0
980770,14,6,33,-12.17,924835.0,114.18,0.22,3,1.0,3,1
562311,11,8,27,-3.5,980162.0,124.23,0.27,4,4.0,4,1
177966,12,5,29,-6.3,1049152.0,135.22,0.31,4,6.0,2,1
864451,13,6,29,-1.12,929107.0,127.58,0.42,4,4.0,3,1
343247,0,4,20,6.09,80964.0,91.6,0.49,2,1.0,1,0
221173,11,6,26,4.63,992974.0,123.96,0.26,3,4.0,2,0
874476,14,6,33,12.87,1099612.0,121.08,0.23,3,2.0,4,1
645344,13,7,27,-10.63,1005025.0,123.05,0.23,4,3.0,4,1
637399,0,5,20,12.8,32198.0,87.0,0.57,2,1.0,1,0
880299,11,7,26,-8.86,980200.0,128.36,0.28,3,5.0,3,1
676455,14,6,31,-17.99,1012912.0,126.59,0.27,4,4.0,3,1
972623,13,5,24,6.18,977776.0,124.32,0.29,3,3.0,2,1
652161,1,4,21,1.47,21803.0,96.94,0.58,2,4.0,1,1
462252,13,6,30,-4.49,1047619.0,126.34,0.25,4,4.0,3,1
27777,11,6,26,-6.03,974921.0,121.24,0.19,4,2.0,2,1
408764,0,5,54,13.4,135151.0,113.15,0.64,2,6.0,2,0
795287,1,3,35,3.79,201963.0,109.06,0.59,3,6.0,1,0
643850,0,2,45,1.69,136603.0,116.08,0.68,3,8.0,1,0
15304,1,4,58,3.07,224833.0,119.79,0.77,3,8.0,2,0
581259,0,5,20,13.64,121024.0,99.79,0.45,3,2.0,2,0
973747,15,7,33,-9.07,1001684.0,133.15,0.3,4,5.0,4,1
570011,13,8,24,2.21,998185.0,129.14,0.24,4,4.0,5,1
84199,12,7,33,-3.46,1079989.0,128.25,0.23,3,5.0,4,1
75480,12,6,24,-6.25,910919.0,122.95,0.29,4,4.0,2,1
170660,12,7,28,8.72,1024698.0,131.92,0.24,3,6.0,3,1
559095,0,3,21,22.13,131425.0,102.68,0.56,2,3.0,1,0
320032,0,5,41,0.27,147586.0,98.71,0.51,3,2.0,2,1
426916,2,4,41,9.21,130768.0,102.3,0.69,3,4.0,2,0
376384,12,8,27,12.09,1020445.0,128.63,0.18,3,4.0,4,1
922776,13,6,31,-6.5,987935.0,130.27,0.29,4,4.0,3,1
189779,4,3,20,3.46,60626.0,113.99,0.65,2,6.0,1,1
443503,1,3,32,6.81,143561.0,109.98,0.62,2,7.0,1,0
885380,0,4,18,3.11,89475.0,96.49,0.51,2,2.0,1,1
971597,0,4,48,1.05,243270.0,115.36,0.58,2,6.0,2,0
476160,12,7,34,-4.53,896474.0,129.24,0.35,3,6.0,3,1
356813,0,4,20,6.67,38166.0,83.78,0.53,2,0.0,1,0
45595,2,4,52,10.66,196247.0,115.8,0.69,2,6.0,2,0
25984,12,7,27,-27.53,1033064.0,127.99,0.23,4,2.0,3,1
768709,1,5,19,3.02,80200.0,97.7,0.59,2,4.0,2,0
183936,2,3,33,10.89,79705.0,102.03,0.59,3,3.0,1,0
441475,0,3,41,6.18,99975.0,93.24,0.6,3,2.0,1,1
605909,1,3,22,2.32,79033.0,79.71,0.49,2,0.0,1,0
23437,12,9,34,6.57,957013.0,130.29,0.24,3,5.0,5,1
171627,0,5,18,1.49,115208.0,108.62,0.62,2,4.0,2,0
100891,0,3,21,1.79,52937.0,111.52,0.63,2,6.0,1,1
830402,10,8,24,-0.35,1013948.0,125.81,0.29,4,2.0,4,1
200172,14,7,24,-1.75,937035.0,135.34,0.34,4,7.0,4,1
196668,12,6,33,-22.82,947349.0,135.49,0.4,4,9.0,2,1
113523,2,3,35,8.51,62796.0,112.25,0.69,2,7.0,1,0
761884,13,7,24,-7.88,930558.0,128.68,0.25,4,4.0,3,1
670410,10,7,26,-17.86,1036375.0,131.99,0.19,3,5.0,3,1
19588,13,7,26,-0.69,979730.0,122.56,0.17,3,2.0,4,1
783897,10,6,26,-10.52,974225.0,123.84,0.2,3,2.0,2,0
487528,13,9,27,-12.42,1026501.0,119.95,0.25,3,2.0,5,0
310318,0,3,34,8.11,118976.0,81.12,0.57,2,1.0,1,0
268162,11,9,25,-15.09,980951.0,127.16,0.25,4,4.0,5,1
332392,1,2,35,1.7,121211.0,97.62,0.59,3,3.0,1,0
793300,9,7,28,-1.2,1030325.0,126.03,0.24,3,2.0,3,0
286646,2,4,22,0.42,78070.0,99.44,0.56,1,5.0,1,1
139875,10,6,28,-16.96,1094640.0,117.81,0.18,4,0.0,2,1
823268,12,6,24,6.78,959656.0,124.3,0.27,3,4.0,2,1
969265,0,4,19,12.96,120003.0,99.85,0.58,2,4.0,1,0
440034,1,3,48,9.14,78881.0,111.5,0.7,2,6.0,1,0
523154,11,7,41,-1.15,955685.0,138.26,0.42,3,10.0,3,1
471630,1,2,19,0.37,51903.0,90.61,0.55,2,2.0,1,0
763216,10,9,32,6.92,1040638.0,130.64,0.25,3,5.0,5,1
480591,1,3,19,0.11,39317.0,85.93,0.6,3,2.0,1,0
46215,0,5,19,10.94,132365.0,92.86,0.46,2,2.0,2,1
928765,1,3,21,1.54,143008.0,94.83,0.37,2,2.0,1,1
954954,13,7,39,-8.34,988919.0,134.74,0.38,4,7.0,4,1
147181,10,7,29,2.28,1077092.0,128.03,0.23,4,4.0,3,1
192323,7,3,21,16.17,26304.0,96.77,0.62,2,4.0,2,0
607869,0,4,21,7.63,109306.0,86.92,0.56,2,1.0,1,0
696601,12,6,29,-10.06,1069419.0,132.0,0.22,4,5.0,3,1
831765,0,3,20,2.26,42687.0,78.04,0.43,2,0.0,1,0
58473,0,3,34,6.94,68361.0,117.33,0.69,2,7.0,1,0
852229,2,2,49,4.43,188781.0,114.84,0.71,2,7.0,1,1
160062,0,1,19,0.36,189259.0,108.02,0.59,2,6.0,1,1
646149,1,2,20,6.02,123297.0,96.3,0.63,2,3.0,1,0
924051,0,3,21,7.17,6739.0,75.01,0.56,3,1.0,1,0
115634,1,5,34,1.38,137010.0,106.54,0.55,3,4.0,2,0
